,ID_encuesta,Encuestador,Fecha_encuesta,Sitio,Residencia_costa,Distancia_residenciaKm,Edad,Genero,Integrantes_familia,Ocupacion,Ingresos,Relacion_mar,Ave_favorita,Nota_conocimiento,Participacion_avistamiento,Lugar_conocimiento,Conoce_Larus,Nombre_Larus,FrecPercib_Larus_Verde,Benef_Larus_Verde,FrecPercib_Larus_Urbano,Benef_Larus_Urbano,FrecPercib_Larus_PlayaNat,Benef_Larus_PlayaNat,FrecPercib_Larus_PlayaInt,Benef_Larus_PlayaInt,FrecPercib_Larus_RocaNat,Benef_Larus_RocaNat,FrecPercib_Larus_RocaInt,Benef_Larus_RocaInt,Conoce_Columba,Nombre_Columba,FrecPercib_Columba_Verde,Benef_Columba_Verde,FrecPercib_Columba_Urbano,Benef_Columba_Urbano,FrecPercib_Columba_PlayaNat,Benef_Columba_PlayaNat,FrecPercib_Columba_PlayaInt,Benef_Columba_PlayaInt,FrecPercib_Columba_RocaNat,Benef_Columba_RocaNat,FrecPercib_Columba_RocaInt,Benef_Columba_RocaInt,Conoce_Pele,Nombre_Pele,FrecPercib_Pele_Verde,Benef_Pele_Verde,FrecPercib_Pele_Urbano,Benef_Pele_Urbano,FrecPercib_Pele_PlayaNat,Benef_Pele_PlayaNat,FrecPercib_Pele_PlayaInt,Benef_Pele_PlayaInt,FrecPercib_Pele_RocaNat,Benef_Pele_RocaNat,FrecPercib_Pele_RocaInt,Benef_Pele_RocaInt,Conoce_Phalacrocorax,Nombre_Phalacrocorax,FrecPercib_Phalacrocorax_Verde,Benef_Phalacrocorax_Verde,FrecPercib_Phalacrocorax_Urbano,Benef_Phalacrocorax_Urbano,FrecPercib_Phalacrocorax_PlayaNat,Benef_Phalacrocorax_PlayaNat,FrecPercib_Phalacrocorax_PlayaInt,Benef_Phalacrocorax_PlayaInt,FrecPercib_Phalacrocorax_RocaNat,Benef_Phalacrocorax_RocaNat,FrecPercib_Phalacrocorax_RocaInt,Benef_Phalacrocorax_RocaInt,Conoce_Turdus,Nombre_Turdus,FrecPercib_Turdus_Verde,Benef_Turdus_Verde,FrecPercib_Turdus_Urbano,Benef_Turdus_Urbano,FrecPercib_Turdus_PlayaNat,Benef_Turdus_PlayaNat,FrecPercib_Turdus_PlayaInt,Benef_Turdus_PlayaInt,FrecPercib_Turdus_RocaNat,Benef_Turdus_RocaNat,FrecPercib_Turdus_RocaInt,Benef_Turdus_RocaInt,Conoce_Zonotrichia,Nombre_Zonotrichia,FrecPercib_Zonotrichia_Verde,Benef_Zonotrichia_Verde,FrecPercib_Zonotrichia_Urbano,Benef_Zonotrichia_Urbano,FrecPercib_Zonotrichia_PlayaNat,Benef_Zonotrichia_PlayaNat,FrecPercib_Zonotrichia_PlayaInt,Benef_Zonotrichia_PlayaInt,FrecPercib_Zonotrichia_RocaNat,Benef_Zonotrichia_RocaNat,FrecPercib_Zonotrichia_RocaInt,Benef_Zonotrichia_RocaInt,Origen_Columba,Origen_Pele,Origen_Phalacrocorax,Origen_Larus,Origen_Turdus,Origen_Zonotrichia,Bienestar_aves_Verdes,Agrado_aves_Verde,Agrado_aves_Verde_otro,Desagrado_aves_Verde,Desagrado_aves_Verde_otro,Frec_visita_Verde,Frec_infancia_Verde,Bienestar_aves_Urbano,Agrado_aves_Urbano,Agrado_aves_Urbano_otro,Desagrado_aves_Urbano,Desagrado_aves_Urbano_otro,Frec_visita_Urbano,Frec_infancia_Urbano,Bienestar_aves_PlayaNat,Agrado_aves_PlayaNat,Agrado_aves_PlayaNat_otro,Desagrado_aves_PlayaNat,Desagrado_aves_PlayaNat_otro,Frec_visita_PlayaNat,Frec_infancia_PlayaNat,Bienestar_aves_PlayaInt,Agrado_aves_PlayaInt,Agrado_aves_PlayaInt_otro,Desagrado_aves_PlayaInt,Desagrado_aves_PlayaInt_otro,Frec_visita_PlayaInt,Frec_infancia_PlayaInt,Bienestar_aves_RocaNat,Agrado_aves_RocaNat,Agrado_aves_RocaNat_otro,Desagrado_aves_RocaNat,Desagrado_aves_RocaNat_otro,Frec_visita_RocaNat,Frec_infancia_RocaNat,Bienestar_aves_RocaInt,Agrado_aves_RocaInt,Agrado_aves_RocaInt_otro,Desagrado_aves_RocaInt,Desagrado_aves_RocaInt_otro,Frec_visita_RocaInt,Frec_infancia_RocaInt,submit_time
2,dc07071981,GIORGIA,02-08-2019,CASA,1,1.8,38,2,2,BIOLOGO,4,DEPORTE,CORMORAN,5,1,,1,GAVIOTA DOMINICANA,1,2,1,2,7,3.5,7,3.5,7,3.5,7,3.5,1,PALOMA,7,3.5,7,3.5,2,3.5,4,3.5,3,3.5,4,3.5,1,PELICANO ,0,6,0,6,5,6,4,6,6,,7,6,1,CORMORAN,0,7,0,7,6,7,5,7,6,7,7,7,1,ZORZAL,7,6,1,6,2,6,1,6,1,,1,,1,CHINCOL,7,5,7,5,4,5,2,5,5,5,4,5,1,2,2,2,1,1,6,2,,5,,1,1,7,2,,5,,3,3,6,2,,5,,3,3,6,2,,5,,1,1,6,2,,5,,1,1,6,2,,5,,2,3,Fri Aug  2 18:52:53 2019
3,na21094,GIORGIA,15-08-2019,LAGUNA VERDE,1,0,24,1,5,EMPRESARIO,3,CORRER,AGUILUCHO,4,2,cazar,1,GAVIOTA,1,5,1,2,4,7,7,7,5,7,2,6,1,PALOMA,4,7,7,4,2,5,2,1,1,3,4,2,1,PELICANO ,0,5,1,1,1,7,1,7,5,,7,6,1,PATO NEGRO,4,5,1,1,3,5,2,2,0,6,1,2,2,NO SABE,6,5,2,3,2,4,1,1,0,,1,,2,NO SABE,,,,,,,,,,,,,1,2,2,2,1,3,7,6,,2,,2,2,3,2,,2,,1,3,5,2,,5,,3,1,5,2,,5,,1,1,6,2,,2,,1,1,6,2,,5,,2,2,Tue Aug  6 23:57:19 2019
16,au1509,GIORGIA,27-11-2019,PLAYA AMARILLA,2,50,25,1,,ESTUDIANTE,1,DESCANSO PLAYA,NINGUNA,1,1,,1,GAVIOTA,,,,,7,2,,,,,7,3,1,PALOMA,,,7,1,,,,,5,1,,,1,PELICANO ,,,,,2,5,,,,,6,7,1,NO SABE,,,,,2,6,,,,,6,6,2,NO SABE,,,,,,,2,5,6,,,,1,GORRION,,,,,,,1,2,,,3,4,1,2,2,2,1,1,1,5,,2,,2,3,1,5,,2,,2,3,3,1,,2,,3,3,2,5,,2,,3,3,4,1,,2,,3,3,2,5,,2,,3,3,Mon Dec  2 20:52:45 2019
17,susana,GIORGIA,04-12-2019,LAS SIRENAS,1,0.3,71,1,,PENSIONADA,1,PASEAR PLAYA,NINGUNA,2,1,,1,GAVIOTA,7,3,,,,,,,7,7,,,2,NO SABE,,,,,7,1,,,0,1,,,1,PELICANO ,0,4,,,,,,,,,7,7,1,PATO,,,,,,,1,1,2,3,,,2,NO SABE,,,,,1,4,,,1,,,,1,CHINCOL,,,7,7,,,,,0,4,,,1,2,2,2,1,1,7,6,,2,,1,1,7,4,,2,,1,3,7,4,,5,,4,2,5,2,,2,,1,1,7,1,,6,,3,2,7,1,,6,,1,1,Wed Dec  4 17:02:20 2019
19,WS20961,GIORGIA,05-12-2019,LAGUNA VERDE,1,0,58,2,10,PARTICULAR,3,JARDINEAR CASA,TODOS,3,1,,1,GAVIOTA,3,1,,,,,,,7,7,,,1,PALOMA,,,,,2,3,,,0,7,,,1,PELICANO ,0,1,,,,,,,,,7,7,1,NO SABE,,,,,,,0,5,7,7,,,2,NO SABE,,,,,7,7,,,7,,,,1,GORRION,,,3,4,,,,,7,7,,,1,2,2,2,1,1,7,3,,5,,4,2,3,2,,6,,3,2,7,2,,5,,1,1,7,2,,2,,4,2,7,2,,5,,1,1,7,3,,5,,2,1,Thu Dec  5 08:48:45 2019
21,ag6983,GIORGIA,06-12-2019,PLAYA NEGRA,1,0,36,2,4,OPERADOR,3,"pasear perros caminar, mirar mar",GAVIOTIN MONJA,3.5,1,,1,GAVIOTA,3,1,,,,,,,7,7,,,1,PALOMA,,,,,7,5,,,0,5,,,1,PELICANO ,0,5,,,,,,,,,7,7,2,NO SABE,,,,,0,7,,,7,7,,,1,ZORZAL,,,,,0,1,,,7,,,,1,CHINCOL,,,7,7,,,,,7,7,,,1,2,2,2,1,1,7,2,,2,,2,1,7,2,,5,,1,3,7,2,,5,,1,1,7,2,,5,,4,2,7,2,,5,,2,2,7,2,,1,,4,3,Fri Dec  6 20:03:01 2019
27,cb751992,GIORGIA,12-12-2019,PLAZA RECREO,1,0.5,27,1,6,ESTUDIANTE,5,CAMINAR,GAVIOTA,1,1,,1,PELICANO,6,7,,,,,,,7,7,,,1,PALOMA,,,,,4,4,,,2,3,,,1,GAVIOTA,5,7,,,,,,,,,7,7,2,NO SABE,,,,,,,5,7,5,7,,,1,NO SABE,,,,,4,7,,,4,,,,1,NO SABE,,,6,7,,,,,4,7,,,1,2,1,2,1,1,7,4,,5,,1,2,7,4,,5,,1,3,7,4,,6,,3,3,7,4,,5,,1,3,7,4,,5,,3,3,7,3,,3,,4,2,Mon Dec  9 01:37:50 2019
1,PG130858,GIORGIA,14-12-2019,CLUB YATES,2,16,61,2,4,PORTERIA VIGILANCIA,3,TRABAJO,GAVIOTA,3,1,,1,GAVIOTA,6,6,,,,,,,7,7,,,1,PALOMA,,,,,6,7,,,5,5,,,1,PELICANO ,0,1,,,,,,,,,7,7,1,PATO NEGRO,,,,,,,5,7,7,7,,,2,NO SABE,,,,,5,7,,,6,,,,2,GORRION,,,7,6,,,,,4,6,,,3,2,2,2,1,1,6,2,,2,,1,2,6,2,,5,,1,3,7,2,,5,,1,1,5,2,,5,,1,3,7,3,,5,,1,1,7,2,,5,,1,2,Thu Dec 12 22:18:12 2019
3,dd21011994,GIORGIA,2020-01-08,LAGHU YOGA,1,1,25,1,2,INDEPENDIENTE,1,DESCANSO PLAYA,PELICANO,2,1,,1,NO,,,,,,,7,7,7,7,,,1,PALOMA,7,3,,,6,3,,,,,,,1,PELICANO,0,1,0,1,,,,,,,,,1,NO SABE,7,6,,,,,,,2,3,,,1,NO SABE,,,,,3,5,,,5,6,,,1,NO SABE,7,7,7,7,,,,,,,,,1,2,1,2,1,1,7,4,,5,,2,2,5,3,,5,,1,3,7,2,,2,,1,1,7,3,,2,,1,1,7,2,,5,,1,1,4,2,,2,,4,2,Wed Dec 18 17:28:13 2019
4,MK17101990,GIORGIA,2020-01-08,LAGHU YOGA,1,1,29,2,2,PROFESOR YOGA,1,ENTRENAMIENTO O DESCANSO PLAYA,GAVIOTA,3,1,,1,GAVIOTA,,,,,,,7,7,7,7,,,1,PALOMA,7,4,,,0,2,,,,,,,1,PELICANO,0,2,,,7,7,,,,,,,1,NO SABE,,,0,5,,,,,,,5,7,1,NO SABE,,,7,7,,,,,,,0,3,2,NO SABE,,,,,,,3,7,,,0,6,1,2,2,2,1,1,7,1,,3,,2,1,6,1,,3,,1,3,7,4,,3,,1,1,7,1,,5,,1,1,7,4,,5,,2,1,4,1,,2,,3,1,Wed Dec 18 19:23:51 2019
5,PA2461991,GIORGIA,2020-01-08,CASA,2,134,28,1,2,PROFESORA,3,PASEAR,NINGUNA,1,1,,1,GAVIOTA,,,7,4,,,,,7,5,,,1,PALOMA,7,1,,,,,5,1,,,,,1,PELICANO,1,1,,,,,5,3,,,,,1,NO SABE,,,,,7,6,,,,,2,2,1,NO SABE,,,,,,,6,6,5,6,,,1,CHERCAN,,,,,1,2,5,5,,,,,1,2,2,2,1,1,6,2,,5,,3,3,6,2,,5,,3,1,6,2,,3,,3,1,5,5,,5,,3,1,6,2,,5,,3,1,2,5,,2,,4,3,Thu Dec 19 00:35:19 2019
1,mjog,GIORGIA,2020-01-11,CASA,1,3,29,1,4,TRABAJADORA,3,KAKAY CAMINAR DEPORTE,CORMORAN,2,1,TENGO MAPA AVES MIGRATORIAS,1,GAVIOTA,0,7,,,,,7,7,,,,,1,PALOMA,,,7,4,,,,,,,5,4,1,PELICANO,,,,,,,7,7,7,7,,,2,NO SABE,0,1,0,1,,,,,,,,,1,NO SABE,7,7,,,,,1,7,,,,,1,GORRION,,,7,7,,,,,4,7,,,1,2,1,2,1,1,7,2,,5,,1,2,7,2,,5,,1,1,7,2,,5,,1,2,7,2,,5,,1,1,7,2,,5,,1,2,7,2,,5,,2,2,Thu Dec 19 03:45:03 2019
2,JP05061990,GIORGIA,2020-01-11,CASA,2,134,29,2,2,PROGRAMADOR,4,DESCANSO PLAYA,GAVIOTA,2,1,,1,GAVIOTA,,,,,7,7,,,5,7,,,1,PALOMA,,,,,,,,,0,5,6,3,1,PELICANO,,,,,6,7,,,6,7,,,2,NO SABE,,,,,,,0,7,5,7,,,1,NO SABE,6,7,,,,,2,7,,,,,1,PAJARO GENERICO,,,7,7,,,,,,,1,7,1,2,1,2,1,1,7,2,,5,,1,2,7,2,,5,,1,1,7,2,,5,,3,2,7,4,,5,,3,2,7,2,,2,,3,2,7,2,,2,,4,2,Thu Dec 19 04:24:59 2019
3,SC17121981,GIORGIA,2020-01-13,CASA,2,134,38,1,1,ANTROPOLOGA,3,CAMINAR PLAYA,GAVIOTA,2,1,,1,GAVIOTA,,,0,7,,,7,7,,,,,1,PALOMA,,,7,7,,,,,,,1,6,1,PELICANO,0,6,,,,,,,6,7,,,1,NO SABE,,,,,,,,,4,7,4,7,2,NO SABE,5,7,2,7,,,,,,,,,1,GORRION,,,,,,,4,7,1,7,,,1,2,1,2,1,1,7,3,,5,,1,3,7,3,,2,,1,3,7,2,,5,,3,2,7,1,,5,,3,3,7,2,,5,,3,2,7,2,,5,,3,3,Thu Dec 19 06:58:34 2019
4,ab060659,GIORGIA,2020-01-18,CASA,1,2,60,1,1,EDUCADORA PARVULOS,4,CAMINAR,PELICANO,4,1,,1,GAVIOTA,,,2,1,,,,,7,6,,,1,PALOMA,7,7,,,1,3,,,,,,,1,PELICANO,0,1,,,,,,,7,7,,,1,CORMORAN,0,1,0,1,,,,,,,,,1,ZORZAL,7,7,,,1,4,,,,,,,1,NO SABE,,,6,6,,,,,,,1,5,1,2,2,2,1,1,7,2,,3,,1,3,7,1,,5,,1,1,6,4,,2,,3,2,5,3,,5,,3,2,7,4,,2,,3,1,7,3,,3,,2,1,Thu Dec 19 07:19:23 2019
1,FC01061991,GIORGIA,20-01-2020,CASA,2,134,28,1,5,BIOLOGA MARINA,5,"IR A LA PLAYA,RELAJO",PERRITO,6,3,UNORCH,1,GAVIOTA DOMINICANA,,,,,7,7,,,7,7,,,1,PALOMA,7,6,,,,,5,4,,,,,1,PELICANO,,,0,1,,,,,6,7,,,1,CORMORAN YECO,,,,,5,7,2,4,,,,,1,ZORZAL,,,4,3,,,,,1,4,,,1,CHINCOL,,,5,5,,,6,5,,,,,1,2,2,1,1,1,7,3,,5,,1,1,7,1,,2,,1,1,7,3,,5,,2,1,5,3,,2,,2,1,7,3,,5,,2,1,5,1,,2,,3,1,Thu Dec 19 07:51:45 2019
2,GG14071981,FRAN,20-01-2020,CASA,1,2,38,1,2,BIOLOGA,4,CAMINAR,GAVIOTIN MONJA,6,2,AUTODIDACTA,1,GAVIOTA ,,,7,5,,,7,7,,,,,1,PALOMA,,,,,,,7,5,1,4,,,1,PELICANO,0,1,,,,,7,7,,,,,1,CORMORAN YECO,,,,,,,7,7,7,7,,,1,ZORZAL,7,7,,,,,,,5,7,,,1,CHINCOL,,,6,7,,,6,6,,,,,1,2,2,2,1,1,7,1,,5,,1,3,7,3,,2,,1,2,7,2,,5,,1,1,7,1,,2,,1,1,7,2,,5,,1,1,7,2,,3,,2,3,Thu Dec 19 08:31:13 2019
3,J120889,FRAN,20-01-2020,SECTOR 5,1,0.5,30,1,2,ASEO,2,VER EL MAR,GAVIOTA,1,1,,1,GAVIOTA,4,5,,,,,,,7,7,,,1,PALOMA,7,7,7,5,,,,,,,,,1,NO SABE,,,0,0,,,,,6,6,,,1,NO SABE,,,0,1,,,,,7,6,,,1,TURPIAL,6,5,,,,,,,0,4,,,2,NO SABE,,,,,0,5,4,5,,,,,1,2,2,2,1,1,7,2,,2,,1,2,5,2,,2,,2,2,7,2,,5,,1,1,6,2,,2,,1,1,6,3,,5,,2,1,7,2,,2,,3,2,Thu Dec 19 08:51:23 2019
4,C270991,FRAN,20-01-2020,SECTOR 5,1,12,28,1,5,ARTESANO,2,DESCANSAR,GAVIOTA,3,1,,1,GAVIOTA,,,,,,,,,7,7,,,1,PALOMA,7,3,,,,,7,1,,,,,1,PELICANO,,,,,,,,,7,6,7,5,1,NO SABE,0,0,0,0,,,,,,,,,2,NO SABE,,,,,,,0,0,,,,,2,NO SABE,,,3,4,0,0,,,,,,,1,2,2,2,1,1,6,2,,2,,4,2,4,1,,1,,1,1,6,1,,3,,2,2,6,3,,2,,1,1,6,3,,2,,2,1,4,3,,2,,2,2,Thu Dec 19 09:02:37 2019
5,HG181050,FRAN,20-01-2020,SECTOR 5,2,134,69,2,4,PEQUENO EMPRESARIO,3,DESCANSAR,GAVIOTA,2,1,,1,GAVIOTA,7,7,,,,,7,7,,,3,7,1,PALOMA,7,7,,,0,7,,,,,,,1,PELICANO,,,,,,,1,7,,,2,7,1,NO SABE,,,,,,,1,7,,,7,7,2,NO SABE,,,4,7,5,7,,,,,,,2,NO SABE,,,,,,,,,,,0,7,1,2,2,2,1,1,7,2,,2,,3,2,7,2,,2,,1,2,7,2,,2,,1,1,7,2,,2,,1,1,7,3,,5,,2,1,7,2,,2,,3,2,Thu Dec 19 09:36:00 2019
6,AT191262,FRAN,20-01-2020,SECTOR 5,2,4,57,2,4,ARTESANO,2,RECOGER CONCHITAS Y CAMINAR,ALBATROS,4,1,,1,GAVIOTA DOMINICANA,,,4,5,,,,,,,7,7,1,PALOMA COMUN,7,5,,,,,7,5,,,,,1,PELICANO,,,0,1,7,7,,,,,,,1,PATO YECO,,,,,,,4,7,7,7,,,1,ZORZAL,,,6,5,,,,,,,0,1,1,CHINCOL,7,7,,,,,,,0,1,,,1,2,2,2,1,1,7,2,,5,,2,2,7,1,,2,,1,2,7,2,,5,,1,1,7,2,,5,,1,1,7,2,,5,,1,1,7,2,,2,,1,1,Thu Dec 19 10:03:03 2019
